
Interface,Status,Type,VLAN,Port Speed,Duplex
Ethernet1/52,notconnec,10g,1,auto,auto
Ethernet1/53,notconnec,10g,1,auto,auto
Ethernet1/54,notconnec,10g,1,auto,auto
Ethernet1/55,notconnec,10g,1,auto,auto
Ethernet1/56,notconnec,10g,1,auto,auto
Ethernet1/57,notconnec,10g,1,auto,auto
Ethernet1/58,notconnec,10g,1,auto,auto
Ethernet1/59,notconnec,10g,1,auto,auto
Ethernet1/6,disabled,10g,1,auto,auto
Ethernet1/60,notconnec,10g,1,auto,auto
Ethernet1/61,notconnec,10g,1,auto,auto
Ethernet1/62,notconnec,10g,1,auto,auto
Ethernet1/63,notconnec,10g,1,auto,auto
Ethernet1/64,notconnec,10g,1,auto,auto
Ethernet1/65,notconnec,10g,1,auto,auto
Ethernet1/66,notconnec,10g,1,auto,auto
Ethernet1/67,notconnec,10g,1,auto,auto
Ethernet1/68,notconnec,10g,1,auto,auto
Ethernet1/69,notconnec,10g,1,auto,auto
Ethernet1/7,disabled,10g,1,auto,auto
Ethernet1/70,notconnec,10g,1,auto,auto
Ethernet1/71,notconnec,10g,1,auto,auto
Ethernet1/72,notconnec,10g,1,auto,auto
Ethernet1/73,notconnec,10g,1,auto,auto
Ethernet1/74,notconnec,10g,1,auto,auto
Ethernet1/75,notconnec,10g,1,auto,auto
Ethernet1/76,notconnec,10g,1,auto,auto
Ethernet1/77,notconnec,10g,1,auto,auto
Ethernet1/78,notconnec,10g,1,auto,auto
Ethernet1/79,notconnec,10g,1,auto,auto
Ethernet1/8,disabled,10g,1,auto,auto
Ethernet1/80,notconnec,10g,1,auto,auto
Ethernet1/81,notconnec,10g,1,auto,auto
Ethernet1/82,notconnec,10g,1,auto,auto
Ethernet1/83,notconnec,10g,1,auto,auto
Ethernet1/84,notconnec,10g,1,auto,auto
Ethernet1/85,notconnec,10g,1,auto,auto
Ethernet1/86,notconnec,10g,1,auto,auto
Ethernet1/87,notconnec,10g,1,auto,auto
Ethernet1/88,notconnec,10g,1,auto,auto
Ethernet1/89,notconnec,10g,1,auto,auto
Ethernet1/9,disabled,10g,1,auto,auto
Ethernet1/90,notconnec,10g,1,auto,auto
Ethernet1/91,notconnec,10g,1,auto,auto
Ethernet1/92,notconnec,10g,1,auto,auto
Ethernet1/93,notconnec,10g,1,auto,auto
Ethernet1/94,notconnec,10g,1,auto,auto
Ethernet1/95,notconnec,10g,1,auto,auto
Ethernet1/96,notconnec,10g,1,auto,auto
Ethernet1/97,notconnec,10g,1,auto,auto
Ethernet1/98,notconnec,10g,1,auto,auto
Ethernet1/99,notconnec,10g,1,auto,auto
Loopback0,disabled,,routed,auto,auto
Port-channel1,connected,,trunk,1000,full
Vlan1,down,,routed,auto,auto
Vlan101,routed,,auto,,auto
Vlan102,routed,,auto,,auto
Vlan103,routed,,auto,,auto
Vlan104,routed,,auto,,auto
Vlan105,routed,,auto,,auto
mgmt0,connected,,routed,1000,full
