Device Type,Chassis,Serial Number,Uptime,Directory,Total Disk,Used Disk,Free Disk,Image,Main Memory,OS,Version
Nexus9000 9000v,Nexus9000 9000v Chassis,9SURZFD8MR6,9553,bootflash:,3470110720,1519079424,1951031296,bootflash:///nxos.9.2.4.bin,8161516 kB,NX-OS,9.2(4)
Slot Name,Slot Serial Number,Slot State,Redundancy State,RP Boot Image,RP Uptime
Nexus 9000v Ethernet Module,9SURZFD8MR6,N/A,N/A,N/A,N/A,
N9K-9000v,9SURZFD8MR6,active,active,bootflash:/nxos.9.2.4.bin,9553,
Virtual Device Name,Virtual Device Status,Virtual Interface,Virtual Interface Type,Virtual Interface Status
dist-sw01,active,Eth1/19,Ethernet,OK
dist-sw01,active,Eth1/2,Ethernet,OK
dist-sw01,active,Eth1/20,Ethernet,OK
dist-sw01,active,Eth1/21,Ethernet,OK
dist-sw01,active,Eth1/22,Ethernet,OK
dist-sw01,active,Eth1/23,Ethernet,OK
dist-sw01,active,Eth1/24,Ethernet,OK
dist-sw01,active,Eth1/25,Ethernet,OK
dist-sw01,active,Eth1/26,Ethernet,OK
dist-sw01,active,Eth1/27,Ethernet,OK
dist-sw01,active,Eth1/28,Ethernet,OK
dist-sw01,active,Eth1/29,Ethernet,OK
dist-sw01,active,Eth1/3,Ethernet,OK
dist-sw01,active,Eth1/30,Ethernet,OK
dist-sw01,active,Eth1/31,Ethernet,OK
dist-sw01,active,Eth1/32,Ethernet,OK
dist-sw01,active,Eth1/33,Ethernet,OK
dist-sw01,active,Eth1/34,Ethernet,OK
dist-sw01,active,Eth1/35,Ethernet,OK
dist-sw01,active,Eth1/36,Ethernet,OK
dist-sw01,active,Eth1/37,Ethernet,OK
dist-sw01,active,Eth1/38,Ethernet,OK
dist-sw01,active,Eth1/39,Ethernet,OK
dist-sw01,active,Eth1/4,Ethernet,OK
dist-sw01,active,Eth1/40,Ethernet,OK
dist-sw01,active,Eth1/41,Ethernet,OK
dist-sw01,active,Eth1/42,Ethernet,OK
dist-sw01,active,Eth1/43,Ethernet,OK
dist-sw01,active,Eth1/44,Ethernet,OK
dist-sw01,active,Eth1/45,Ethernet,OK
dist-sw01,active,Eth1/46,Ethernet,OK
dist-sw01,active,Eth1/47,Ethernet,OK
dist-sw01,active,Eth1/48,Ethernet,OK
dist-sw01,active,Eth1/49,Ethernet,OK
dist-sw01,active,Eth1/5,Ethernet,OK
dist-sw01,active,Eth1/50,Ethernet,OK
dist-sw01,active,Eth1/51,Ethernet,OK
dist-sw01,active,Eth1/52,Ethernet,OK
dist-sw01,active,Eth1/53,Ethernet,OK
dist-sw01,active,Eth1/54,Ethernet,OK
dist-sw01,active,Eth1/55,Ethernet,OK
dist-sw01,active,Eth1/56,Ethernet,OK
dist-sw01,active,Eth1/57,Ethernet,OK
dist-sw01,active,Eth1/58,Ethernet,OK
dist-sw01,active,Eth1/59,Ethernet,OK
dist-sw01,active,Eth1/6,Ethernet,OK
dist-sw01,active,Eth1/60,Ethernet,OK
dist-sw01,active,Eth1/61,Ethernet,OK
dist-sw01,active,Eth1/62,Ethernet,OK
dist-sw01,active,Eth1/63,Ethernet,OK
dist-sw01,active,Eth1/64,Ethernet,OK
dist-sw01,active,Eth1/65,Ethernet,OK
dist-sw01,active,Eth1/66,Ethernet,OK
dist-sw01,active,Eth1/67,Ethernet,OK
dist-sw01,active,Eth1/68,Ethernet,OK
dist-sw01,active,Eth1/69,Ethernet,OK
dist-sw01,active,Eth1/7,Ethernet,OK
dist-sw01,active,Eth1/70,Ethernet,OK
dist-sw01,active,Eth1/71,Ethernet,OK
dist-sw01,active,Eth1/72,Ethernet,OK
dist-sw01,active,Eth1/73,Ethernet,OK
dist-sw01,active,Eth1/74,Ethernet,OK
dist-sw01,active,Eth1/75,Ethernet,OK
dist-sw01,active,Eth1/76,Ethernet,OK
dist-sw01,active,Eth1/77,Ethernet,OK
dist-sw01,active,Eth1/78,Ethernet,OK
dist-sw01,active,Eth1/79,Ethernet,OK
dist-sw01,active,Eth1/8,Ethernet,OK
dist-sw01,active,Eth1/80,Ethernet,OK
dist-sw01,active,Eth1/81,Ethernet,OK
dist-sw01,active,Eth1/82,Ethernet,OK
dist-sw01,active,Eth1/83,Ethernet,OK
dist-sw01,active,Eth1/84,Ethernet,OK
dist-sw01,active,Eth1/85,Ethernet,OK
dist-sw01,active,Eth1/86,Ethernet,OK
dist-sw01,active,Eth1/87,Ethernet,OK
dist-sw01,active,Eth1/88,Ethernet,OK
dist-sw01,active,Eth1/89,Ethernet,OK
dist-sw01,active,Eth1/9,Ethernet,OK
dist-sw01,active,Eth1/90,Ethernet,OK
dist-sw01,active,Eth1/91,Ethernet,OK
dist-sw01,active,Eth1/92,Ethernet,OK
dist-sw01,active,Eth1/93,Ethernet,OK
dist-sw01,active,Eth1/94,Ethernet,OK
dist-sw01,active,Eth1/95,Ethernet,OK
dist-sw01,active,Eth1/96,Ethernet,OK
dist-sw01,active,Eth1/97,Ethernet,OK
dist-sw01,active,Eth1/98,Ethernet,OK
dist-sw01,active,Eth1/99,Ethernet,OK
